% Device,11E101660
% File name,11E101660_20110922_130712
% Cast time (UTC),2011-09-22 13:07:12
% Cast time (local),2011-09-22 10:07:12
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,-22.9287626
% Start longitude,-43.1438954
% Start altitude,-3.4000000953674316
% Start GPS horizontal error(Meter),2,90000009536743
% Start GPS vertical error(Meter),10,539999961853
% Start GPS number of satellites,9
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),242.6
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2011-06-02
% Temperature calibration date,2011-06-02
% Pressure calibration date,2011-06-01
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
3.15,3.1414690664271658,18.870863381490945,46874.327859484722,53423.074275831255,35.082412309693034,1518.4473575138347,1025.1320176097768
3.4499999999999997,3.4404381541330324,18.732885512728416,46779.997411678953,53483.776411304578,35.120288308879871,1518.1008530177853,1025.1972873673608
3.75,3.7393939255232707,18.691376385537946,46760.864441978185,53512.69324792461,35.139421710143822,1518.0085839753833,1025.2237337594941
4.05,4.0383441007965653,18.662098371245222,46736.993041397276,53521.240142889124,35.144148430352807,1517.9349887010285,1025.2360600794025
4.35,4.3372897208497134,18.638105279162829,46731.356010808995,53544.208337939905,35.159753784565829,1517.8887995389337,1025.2553686968874
4.6499999999999995,4.6362302923397616,18.616696478717436,46723.76218919691,53561.784776611348,35.17151303341484,1517.8456424640169,1025.271079795479
4.9499999999999993,4.9351667001633945,18.598834822967966,46717.310948564,53576.329663692311,35.181214392198818,1517.8103156536915,1025.2843196652807
5.2499999999999991,5.2340999628376537,18.580092476782443,46702.638493637525,53582.537162488392,35.18472777040526,1517.765435187554,1025.2930448766147
5.55,5.5330301116974629,18.546399006091466,46673.674324412714,53590.739291535669,35.188947790250737,1517.6783336411711,1025.3060703533015
5.85,5.8319552001401238,18.520233558004158,46669.245727949732,53617.871404284335,35.207484324700154,1517.6290236740761,1025.3281497702812
6.1499999999999995,6.130873414132215,18.483460062748605,46655.1869672217,53647.049820663022,35.226977205025307,1517.5501982046835,1025.3536211635249
6.4499999999999993,6.42978598669707,18.456908176242617,46637.145282802208,53659.0696853788,35.2343492799628,1517.4870225620027,1025.36724315731
6.7499999999999991,6.7286961396383864,18.453684654975152,46635.933712243561,53661.6561777622,35.235975196092461,1517.484562036992,1025.3706120744571
7.0499999999999989,7.0276053173847925,18.43881166658899,46618.956070882261,53660.487341023749,35.2342325675066,1517.4446919705763,1025.3743245105766
7.35,7.3265112600089228,18.41006017186789,46605.937211075136,53681.032722085867,35.247758453757754,1517.3820537686324,1025.3931986722848
7.6499999999999995,7.6254098296480137,18.353633327352608,46574.593720357552,53714.752542980961,35.2695291324238,1517.2487415795597,1025.4253022646863
7.9499999999999993,7.9242996603819416,18.303590354592817,46546.233540764384,53744.081217768646,35.288376136492211,1517.1303680378917,1025.4535509262453
8.25,8.2231831224159535,18.285177415530548,46542.969984134106,53763.17340382978,35.301346832769127,1517.0967695356524,1025.4693935546479
8.5499999999999989,8.5220640117981361,18.27819923658943,46534.721605032042,53762.312695406,35.300228870460934,1517.0802850959203,1025.4715951885644
